GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
equipamento,app,App,226,0,0,0,86,0,27,0,27,0
equipamento,app,ErrorResponse,3,0,0,0,1,0,1,0,1,0
equipamento,bicicleta,Bicicleta,63,0,0,0,26,0,13,0,13,0
equipamento,bicicleta,BicicletaService,124,0,0,0,29,0,10,0,10,0
equipamento,bicicleta,NewBicicletaRequest,21,0,0,0,9,0,2,0,2,0
equipamento,bicicleta,BicicletaController,220,0,18,0,57,0,18,0,9,0
equipamento,bicicleta,Bicicleta.BicicletaStatus,68,0,0,0,1,0,4,0,4,0
equipamento,utils,utils,11,0,0,0,4,0,4,0,4,0
equipamento,totem,TotemController,199,0,20,0,54,0,19,0,9,0
equipamento,totem,Totem,34,0,0,0,11,0,6,0,6,0
equipamento,totem,TotemService,151,0,16,0,35,0,17,0,9,0
equipamento,totem,NewTotemRequest,9,0,0,0,5,0,2,0,2,0
equipamento,tranca,Tranca,87,0,2,0,33,0,18,0,17,0
equipamento,tranca,Tranca.TrancaStatus,68,0,0,0,1,0,4,0,4,0
equipamento,tranca,TrancaService,153,0,8,0,37,0,15,0,11,0
equipamento,tranca,NewTrancaRequest,18,0,0,0,8,0,2,0,2,0
equipamento,tranca,TrancaController,219,0,18,0,58,0,19,0,10,0
